site_url,author,headline,language,country,type
nytimes.com,david bornstein,When Reportage Turns to Cynicism,english,United States,legitimate
nytimes.com,karen zraick,"Trump, Obama, Gwen Ifill: Your Monday Evening Briefing",english,United States,legitimate
nytimes.com,diane daniel,"Southeast of Amsterdam, a Noted Family Compound Comes on Market",english,United States,legitimate
nytimes.com,hiroko tabuchi,Climate Protection Advocates Fear a Rollback of Emissions Standards,english,United States,legitimate
nytimes.com,neil macfarquhar,"Putin and Trump Talk on Phone and Agree to Improve Ties, Kremlin Says",english,United States,legitimate
nytimes.com,geeta anand,How Narendra Modi of India Plans to Wipe Out ‘Black Money’,english,United States,legitimate
nytimes.com,daniel victor,"Stephen Bannon and Breitbart News, in Their Words",english,United States,legitimate
nytimes.com,ivan nechepurenko,Russian Jet Crashes Off Syria While Trying to Land on Carrier Kuznetsov,english,United States,legitimate
nytimes.com,jennifer steinhauer,"Iran, Spending, Defense: Areas to Watch as Congress Reconvenes",english,United States,legitimate
nytimes.com,ben protess,Mary Jo White to Step Down as S.E.C. Chief,english,United States,legitimate
nytimes.com,liz alderman,"Greece, Seeking Dose of Stability, Is Rattled by Trump’s Win",english,United States,legitimate
nytimes.com,daniel victor,Brendan Dassey of ‘Making a Murderer’ Is to Be Freed While State Appeals Ruling,english,United States,legitimate
nytimes.com,somini sengupta,"U.S. Forces May Have Committed War Crimes in Afghanistan, Prosecutor Says",english,United States,legitimate
nytimes.com,jeremy w.,Trump’s Choice of Stephen Bannon Is Nod to Anti-Washington Base,english,United States,legitimate
nytimes.com,kevin allison,Samsung Takes Sensible Course in Bid for Harman International,english,United States,legitimate
nytimes.com,javier c.,"With Odes to Military March, China Puts Nationalism Into Overdrive",english,United States,legitimate
nytimes.com,carl richards,Plans for Uncertain Times,english,United States,legitimate
nytimes.com,alexandra stevenson,Federal Watchdog Agency Steps Up Inquiry Into Home Contracts,english,United States,legitimate
nytimes.com,azam ahmed,"After Trump’s Win, an Anxious Mexico Asks: What’s Next?",english,United States,legitimate
nytimes.com,scott goodstein,Donald Trump Trolled Us All. We Should Learn From It.,english,United States,legitimate
nytimes.com,joanna berendt,Poland Exhumes Ex-President’s Body in Inquiry of 2010 Plane Crash,english,United States,legitimate
nytimes.com,andrew c.,My ProPublica Move: From Blogging and Teaching Back to Deep Digging on Climate,english,United States,legitimate
nytimes.com,michael d.,"Critics See Stephen Bannon, Trump’s Pick for Strategist, as Voice of Racism",english,United States,legitimate
nytimes.com,michael griffiths,"In China, One Music Website Is Always No. 1",english,United States,legitimate
nytimes.com,liam stack,Globalism: A Far-Right Conspiracy Theory Buoyed by Trump,english,United States,legitimate
nytimes.com,adeel hassan,"Refugees Discover 2 Americas: One That Hates, and One That Heals",english,United States,legitimate
nytimes.com,sewell chan,"2016 Likely to Top 2015 as Hottest Year on Record, Scientists Say",english,United States,legitimate
nytimes.com,stephen j.,Trump’s Presidency Raises Questions on the Future of Wall St. Regulation,english,United States,legitimate
nytimes.com,matt krupnick,Conventioneers Add Charity Work to Golf and Speeches,english,United States,legitimate
nytimes.com,jim kerstetter,Daily Report: Time to Guard Your Cellphone Number,english,United States,legitimate
nytimes.com,sapna maheshwari,"After Election Surprise, Marketers Rethink How to Study Consumers",english,United States,legitimate
nytimes.com,adam liptak,Trump’s Supreme Court List: Ivy League? Out. The Heartland? In.,english,United States,legitimate
nytimes.com,nicholas kristof,"In the Holiday Season, Supporting the Vilified",english,United States,legitimate
nytimes.com,ronald j.,A Poll Tax by Another Name,english,United States,legitimate
nytimes.com,carl richards,A Question for Uncertain Times: What Do You Still Control?,english,United States,legitimate
nytimes.com,john otis,"After Setbacks, Aiming to Go to College and Help Others in Need",english,United States,legitimate
nytimes.com,international herald,1966: Israelis Seize Town on Border With Jordan,english,United States,legitimate
nytimes.com,brooks barnes,A Trip to ‘Mars’ Signals a New Look for National Geographic Channel,english,United States,legitimate
nytimes.com,richard denniss,Australia’s Addiction to Coal,english,United States,legitimate
nytimes.com,the associated,Wall St. Closes Mixed as Interest Rates Tick Up,english,United States,legitimate
nytimes.com,michael j.,"Perella Weinberg, Seeking Growth, Acquires a Rival Bank",english,United States,legitimate
nytimes.com,eric li,How Trump Is Good for China,english,United States,legitimate
nytimes.com,geeta anand,Kashmir Is Paralyzed by an ‘Adored’ Band of Militants,english,United States,legitimate
nytimes.com,julie turkewitz,"At Conference, Political Consultants Wonder Where They Went Wrong",english,United States,legitimate
nytimes.com,javier c.,"Trump and Xi Jinping, China’s Leader, Hold Cordial First Phone Call",english,United States,legitimate
nytimes.com,david leonhardt,"Stay On, for Your Country",english,United States,legitimate
nytimes.com,mike mcphate,California Today: Why More Community Colleges Offer Free Tuition,english,United States,legitimate
nytimes.com,brian x.,"Apple’s New MacBook Pro: Fast and Light, but Not for Everyone",english,United States,legitimate
nytimes.com,sewell chan,Assange Is Questioned in London Over Rape Accusation in Sweden,english,United States,legitimate
nytimes.com,maia silber,Harvard’s Rank and File,english,United States,legitimate
nytimes.com,richard c.,"Critic of Najib Razak, Malaysian Leader, Gets Prison for 1MDB Disclosure",english,United States,legitimate
nytimes.com,amie tsang,"Morning Agenda: Trump and the Battlegrounds Ahead, Samsung and the Auto Industry",english,United States,legitimate
nytimes.com,jonathan wolfe,"New York Today: Behold, the Supermoon",english,United States,legitimate
nytimes.com,sean alfano,"Donald Trump, Reince Priebus, Supermoon: Your Monday Briefing",english,United States,legitimate
nytimes.com,jeffrey gettleman,"As Grasslands Dwindle, Kenya’s Shepherds Seek Urban Pastures",english,United States,legitimate
nytimes.com,jonathan martin,"Pulling Democrats Back to ‘It’s the Economy, Stupid’",english,United States,legitimate
nytimes.com,lisa w.,Financial Relief Eludes Connecticut Homeowners With Crumbling Foundations,english,United States,legitimate
nytimes.com,amie tsang,Samsung to Buy Harman International in an $8 Billion Bet on Cars,english,United States,legitimate
nytimes.com,the editorial,Donald Trump Is Now Hiring,english,United States,legitimate
nytimes.com,charles m.,Trump’s Rural White America,english,United States,legitimate
nytimes.com,leon wieseltier,My Friend Leonard Cohen: Darkness and Praise,english,United States,legitimate
nytimes.com,the editorial,"Atlantic City, Symbol of Big Bets Gone Bad",english,United States,legitimate
nytimes.com,paul krugman,Trump Slump Coming?,english,United States,legitimate
nytimes.com,the editorial,A Troubling New President for Interpol,english,United States,legitimate
nytimes.com,didi kirsten,‘World’s Saddest Polar Bear’ to Get a Temporary Reprieve From Home in Chinese Mall,english,United States,legitimate
nytimes.com,palko karasz,"Donald Trump, Paris, Audi: Your Monday Briefing",english,United States,legitimate
nytimes.com,emmarie huetteman,"In Twist, Trump Victory Could Defang Anti-Establishment G.O.P. Caucus",english,United States,legitimate
nytimes.com,charlie savage,"Harsher Security Tactics? Obama Left Door Ajar, and Donald Trump Is Knocking",english,United States,legitimate
nytimes.com,michael m.,"Breitbart, Reveling in Trump’s Election, Gains a Voice in His White House",english,United States,legitimate
nytimes.com,rachel felder,Tattoo and Graffiti Artists Add Their Flair to Watches,english,United States,legitimate
nytimes.com,victoria gomelsky,Virtual Reality Takes Fans Inside the World of Watches,english,United States,legitimate
nytimes.com,anne barnard,"Syrian Rebels Brace for a Trump Cutoff, and Look for a Silver Lining",english,United States,legitimate
nytimes.com,michael d.,Donald Trump’s Long To-Do List for Day 1,english,United States,legitimate
nytimes.com,robin swithinbank,How Has TAG Heuer Bucked the Swiss Watch Downturn?,english,United States,legitimate
nytimes.com,kathleen beckett,"Dominique Renaud, Revolutionary Watchmaker",english,United States,legitimate
nytimes.com,kathleen beckett,Christie’s Marking 40 Years of Patek Philippe’s Nautilus,english,United States,legitimate
nytimes.com,charlie savage,Chelsea Manning Asks Obama to Cut Sentence to Time Served,english,United States,legitimate
nytimes.com,jim rutenberg,Where Will Trump Stand on Press Freedoms?,english,United States,legitimate
nytimes.com,kathleen beckett,This Fashion Pirate Prefers Hublot,english,United States,legitimate
nytimes.com,sarah maslin,"Raccoons in Central Park Draw Crowds, and Warnings to Stay Away",english,United States,legitimate
nytimes.com,jason horowitz,A Newly Vibrant Washington Fears That Trump Will Drain Its Culture,english,United States,legitimate
nytimes.com,sydney ember,Can Libel Laws Be Changed Under Trump?,english,United States,legitimate
nytimes.com,ben hubbard,U.S. Fingerprints on Attacks Obliterating Yemen’s Economy,english,United States,legitimate
nytimes.com,conor dougherty,Teslas in the Trailer Park: A California City Faces Its Housing Squeeze,english,United States,legitimate
nytimes.com,the new,Traders to Compare Notes With Wall Street’s Richest Investors,english,United States,legitimate
nytimes.com,geeta anand,Narendra Modi Defends Currency Move as Millions in India Scramble for Cash,english,United States,legitimate
nytimes.com,sylvie kauffmann,"For Le Pen, the Impossible Now Seems Possible",english,United States,legitimate
nytimes.com,pankaj mishra,The Incendiary Appeal of Demagoguery in Our Time,english,United States,legitimate
nytimes.com,samuel g.,Muslim College Chaplains Extend a Hand Across Religious Divides,english,United States,legitimate
nytimes.com,zach schonbrun,Paul Newman Who? Salad Dressing Company Adjusts to Reach Millennials,english,United States,legitimate
nytimes.com,isabel kershner,Bill to Legalize West Bank Settlements Advances in Israel,english,United States,legitimate
nytimes.com,norimitsu onishi,Windmills or Reactor Cores? Inside South Africa’s Energy Clash,english,United States,legitimate
nytimes.com,clyde haberman,Philanthropy That Comes From a Click,english,United States,legitimate
nytimes.com,james kanter,European Leaders Gather to Grapple With Donald Trump’s Victory,english,United States,legitimate
nytimes.com,julie hirschfeld,"Donald Trump Appears to Soften Stance on Immigration, but Not on Abortion",english,United States,legitimate
nytimes.com,gardiner harris,"Obama Heads Overseas, Where Topic of Trump Will Follow Him",english,United States,legitimate
nytimes.com,gina kolata,Celebrex Is Found to Be No Riskier for Hearts Than Other Pain Drugs,english,United States,legitimate
nytimes.com,gina kolata,"Genetic Heart Disease Risk Eased by Healthy Habits, Study Finds",english,United States,legitimate
nytimes.com,charles mcdermid,"Donald Trump, New Zealand, Facebook: Your Monday Briefing",english,United States,legitimate
nytimes.com,michael d.,Donald Trump Picks Reince Priebus as Chief of Staff and Stephen Bannon as Strategist,english,United States,legitimate
nytimes.com,boryana dzhambazova,Pro-Russia Candidate Appears Likely to Win Bulgarian Presidency,english,United States,legitimate
nytimes.com,liz alderman,"From Bataclan to Street Cafes, Paris Is Quiet but Resolute as It Mourns on Anniversary of Attacks",english,United States,legitimate
nytimes.com,james barron,"In Troubled Newark Archdiocese, Hoping Its New Leader Is a Pastor, Not a Prince",english,United States,legitimate
nytimes.com,jane perlez,Violence Escalates Between Myanmar Forces and Rohingya,english,United States,legitimate
nytimes.com,the new,"Red, Blue and Divided: Six Views of America",english,United States,legitimate
nytimes.com,joe cochrane,"Jakarta Protest, Tied to Faith, May Have Deeper Links to Secular Politics",english,United States,legitimate
nytimes.com,nicholas fandos,"Donald Trump Shouldn’t ‘Put His Children Out of Work,’ Giuliani Says",english,United States,legitimate
nytimes.com,emily palmer,"After Schizophrenia Diagnosis, a Sense of Clarity and a Place of His Own",english,United States,legitimate
nytimes.com,reuters ,Toyota Agrees to $3.4 Billion Settlement in Corrosion Case,english,United States,legitimate
nytimes.com,michael wilson,"Waffles and Pancakes, Then Violence, at the ‘Goodfellas’ Diner",english,United States,legitimate
nytimes.com,michelle innis,New Zealand Struck by Powerful Earthquake,english,United States,legitimate
nytimes.com,karen workman,"Donald Trump, Mosul, Supermoon: Your Weekend Briefing",english,United States,legitimate
nytimes.com,michelle innis,"U.S., in Deal With Australia, Agrees to Take Some Refugees",english,United States,legitimate
nytimes.com,nicholas casey,Colombia Reaches New Peace Deal With Rebels,english,United States,legitimate
nytimes.com,rachel l.,Trump and Identity,english,United States,legitimate
nytimes.com,eric lichtblau,Trump Camp Refuses to Close Door on Campaign Pledge to ‘Lock Her Up’,english,United States,legitimate
nytimes.com,peter baker,Obama’s Policies and Broader Vision Face Reckoning With History,english,United States,legitimate
nytimes.com,steph yin,Brain Implant Eases Communication by Late-Stage A.L.S. Patient,english,United States,legitimate
nytimes.com,choe sang-hun,South Koreans Rally in Largest Protest in Decades to Demand President’s Ouster,english,United States,legitimate
nytimes.com,salman masood,Bombing at Sufi Shrine in Pakistan Kills Dozens,english,United States,legitimate
nytimes.com,amy chozick,Hillary Clinton Blames F.B.I. Director for Election Loss,english,United States,legitimate
nytimes.com,eli rosenberg,"Protesters Take Anti-Trump Message to His Doorstep, and Plan Next Steps",english,United States,legitimate
nytimes.com,jesse wegman,The Doll in the Blue Pantsuit,english,United States,legitimate
nytimes.com,maureen dowd,Obama Lobbies Against Obliteration by Trump,english,United States,legitimate
nytimes.com,gretchen carlson,Gretchen Carlson: My Fight Against Sexual Harassment,english,United States,legitimate
nytimes.com,nell irvin,What Whiteness Means in the Trump Era,english,United States,legitimate
nytimes.com,gordon marino,What’s the Use of Regret?,english,United States,legitimate
nytimes.com,the editorial,The Danger of Going Soft on Russia,english,United States,legitimate
nytimes.com,ross douthat,He Made America Feel Great Again,english,United States,legitimate
nytimes.com,geoffrey kabaservice,When Republicans Take Power,english,United States,legitimate
nytimes.com,shmuel rosner,How Donald Trump Will Divide American and Israeli Jews,english,United States,legitimate
nytimes.com,lisa feldman,The Varieties of Anger,english,United States,legitimate
nytimes.com,nicholas kristof,Lies in the Guise of News in the Trump Era,english,United States,legitimate
nytimes.com,brian mcfadden,The Strip,english,United States,legitimate
nytimes.com,charlie savage,Guantánamo Deal Could Lead to Prosecution in Indonesia Terrorist Attacks,english,United States,legitimate
nytimes.com,the editors,What Are You Afraid Of?,english,United States,legitimate
nytimes.com,mike isaac,"Facebook, in Cross Hairs After Election, Is Said to Question Its Influence",english,United States,legitimate
nytimes.com,abby goodnough,Michigan Voters Say Trump Could See Their Problems ‘Right Off the Bat’,english,United States,legitimate
nytimes.com,nicholas kristof,Why You Should Always Lock Your Hotel Room Door!,english,United States,legitimate
nytimes.com,trip gabriel,"How Erie Went Red: The Economy Sank, and Trump Rose",english,United States,legitimate
nytimes.com,susan chira,The Myth of Female Solidarity,english,United States,legitimate
nytimes.com,sabrina tavernise,"Ohioans, Tired of Status Quo, Flipped to Trump for Change",english,United States,legitimate
nytimes.com,alissa j.,Paris: One Year On,english,United States,legitimate
nytimes.com,alissa j.,Paris: One Year On,english,United States,legitimate
nytimes.com,alissa j.,How Do You Tell the Story of the Paris Attacks? You Let Survivors Speak,english,United States,legitimate
nytimes.com,mark landler,Trump’s Hires Will Set Course of His Presidency,english,United States,legitimate
nytimes.com,patricia cohen,Trump and Congress Both Want Tax Cuts. The Question Is Which Ones.,english,United States,legitimate
nytimes.com,steve lohr,"Where Cellphones Are Lifelines, Start-Ups Spy Opportunities",english,United States,legitimate
nytimes.com,steve lohr,A 10-Digit Key Code to Your Private Life: Your Cellphone Number,english,United States,legitimate
nytimes.com,jack ewing,New Type of Emissions Cheating Software May Lurk in Audis,english,United States,legitimate
